                   q,                 tau,                  dt
                   0,                 2.1,          1.6078e+12
                   0,                 2.1,               0.968
                   0,                 2.1,               0.053
                   0,                 2.1,               0.048
                   0,                 2.1,               0.042
                   0,                 2.1,               0.045
                   0,                 2.1,               0.042
                   0,                 2.1,               7.914
                   0,            -0.13537,               3.894
                   0,            -0.13848,              10.174
                   0,             -0.1302,              10.223
                   0,            -0.14053,               9.845
                   0,            -0.13788,              10.247
                   0,            -0.13104,               9.705
                   0,            -0.13564,               9.232
                   0,            -0.13128,              10.221
                   0,            -0.13852,              10.133
                   0,            -0.13782,              13.492
                   0,            -0.12912,               8.672
                   0,            -0.14197,              10.139
                   0,             -0.1289,               9.806
                   0,            -0.13279,              10.054
                   0,            -0.13893,                9.79
                   0,            -0.12691,              10.154
                   0,            -0.13601,               9.734
                   0,            -0.13431,                9.97
                   0,            -0.14051,               8.963
                   0,            -0.14098,               9.845
                   0,            -0.13627,               9.564
                   0,             -0.1472,               9.505
                   0,            -0.12976,              12.758
                   0,            -0.13352,               9.724
                   0,            -0.12654,               7.975
                   0,            -0.13384,              10.358
                   0,            -0.13121,              10.433
                   0,            -0.13873,              10.679
                   0,            -0.13557,               8.086
                   0,            -0.14712,              14.538
                   0,            -0.14712,               8.345
                   0,            -0.13884,               6.937
                   0,            -0.13385,              10.219
                   0,            -0.13831,               9.264
                   0,            -0.12939,                1.88
           0.0017952,            -0.14284,               9.858
          -0.0053856,            -0.14155,              10.317
          -0.0071808,            -0.12512,               9.724
           -0.043982,            -0.13659,              10.287
           -0.049368,            -0.13736,               9.729
             -0.1131,            -0.13117,              10.327
            -0.12028,            -0.13394,              11.607
            -0.10412,            -0.15092,               8.686
            -0.10053,            -0.15995,              11.426
            -0.10771,            -0.13556,              10.077
             -0.1131,            -0.13045,               7.815
            -0.12207,             -2.1119,              10.028
            -0.11759,            -0.11536,              10.054
            -0.12028,            -0.13134,              10.527
            -0.11938,            -0.15971,              10.383
            -0.12028,            -0.31323,               9.911
            -0.12028,            -0.24349,                 9.6
            -0.12028,            -0.23027,              10.018
            -0.12028,            -0.25734,              10.253
            -0.12028,            -0.21802,               9.891
            -0.12028,            -0.24421,              10.229
            -0.12028,            -0.23834,              10.462
            -0.12028,            -0.22551,              11.127
            -0.12028,            -0.24145,               9.692
            -0.12028,            -0.23586,               10.47
            -0.12028,            -0.21783,              10.078
            -0.12028,             -0.2423,              10.122
            -0.12028,            -0.22925,               9.933
            -0.12028,            -0.22925,               7.218
            -0.12028,            -0.22863,              10.831
            -0.12028,            -0.23599,              10.154
            -0.12028,            -0.20961,              10.497
            -0.12028,             -0.2238,              10.998
            -0.12028,            -0.23049,               9.429
            -0.12028,            -0.21319,              10.569
            -0.12028,            -0.23078,               8.035
            -0.12028,            -0.21804,               9.869
            -0.12028,            -0.22634,              10.132
            -0.12028,            -0.23417,               9.868
            -0.12028,            -0.21963,              10.141
            -0.12028,            -0.21853,              11.975
            -0.12028,             -0.2191,               10.08
            -0.12028,            -0.21937,              10.328
            -0.12028,             -0.2146,               9.933
            -0.12028,            -0.22789,              10.057
            -0.12028,            -0.21584,               9.876
            -0.12028,            -0.22887,               10.09
            -0.12028,             -0.2256,              10.025
            -0.12028,            -0.21788,               10.05
            -0.12028,            -0.21788,               7.894
            -0.12028,            -0.22769,              10.053
            -0.12028,            -0.21077,              10.237
            -0.12028,            -0.21603,               10.23
            -0.12028,            -0.23004,              10.398
            -0.12028,            -0.21891,               9.738
            -0.12028,             -0.2283,               9.022
            -0.12028,            -0.22577,              10.853
            -0.12028,            -0.22503,              10.812
            -0.12028,             -0.2102,               9.584
            -0.12028,            -0.22769,               9.426
            -0.12028,            -0.21026,               9.614
            -0.12028,            -0.22104,               9.564
            -0.12028,            -0.21419,              10.019
            -0.12028,            -0.21799,              10.124
            -0.12028,            -0.21736,              10.973
            -0.12028,            -0.21358,              10.748
            -0.12028,            -0.21762,               8.875
            -0.12028,            -0.21345,                9.95
            -0.12028,            -0.21559,               9.838
            -0.12028,            -0.22226,               9.725
            -0.12028,            -0.21074,               9.718
            -0.12028,            -0.22344,              10.132
            -0.12028,            -0.21168,               9.974
            -0.12028,            -0.21267,              10.237
            -0.12028,             -0.2228,               9.742
            -0.12028,            -0.21428,              10.281
            -0.12028,            -0.21822,               9.687
            -0.12028,            -0.20776,              10.222
            -0.12028,            -0.21277,               9.754
            -0.12028,            -0.22518,              10.072
            -0.12028,            -0.21266,              10.043
            -0.12028,            -0.22548,              10.259
            -0.12028,             -0.2139,               9.932
            -0.12028,            -0.21547,              10.111
            -0.12028,            -0.21912,               9.696
            -0.12028,              -0.209,              10.205
            -0.12028,            -0.21661,               10.13
            -0.12028,            -0.20868,              10.069
            -0.12028,              -0.222,               9.997
            -0.12028,            -0.22858,              10.206
            -0.12028,            -0.21531,               9.908
            -0.12028,            -0.22212,               9.651
            -0.12028,            -0.20714,              10.114
            -0.12028,            -0.21096,              10.026
            -0.12028,            -0.21823,              14.648
            -0.12028,            -0.21823,               6.537
            -0.12028,            -0.21423,              10.663
            -0.12028,            -0.22018,              10.242
            -0.12028,             -0.2135,              10.046
            -0.12028,             -0.2241,               9.918
            -0.12028,            -0.21032,              10.115
            -0.12028,            -0.22163,               9.905
            -0.12028,             -0.2159,              10.031
            -0.12028,            -0.21311,               9.448
            -0.12028,            -0.21946,              10.162
            -0.12028,            -0.20623,              10.107
            -0.12028,            -0.21863,              10.098
            -0.12028,             -0.2189,              10.191
            -0.12028,             -0.2189,               7.194
            -0.12028,             -0.2169,              10.504
            -0.12028,            -0.22044,              10.143
            -0.12028,            -0.20555,              10.575
            -0.12028,            -0.21283,              10.444
            -0.12028,            -0.22031,              10.346
            -0.12028,            -0.20204,               7.957
            -0.12028,            -0.20942,              12.892
            -0.12028,            -0.21802,                7.21
            -0.12028,            -0.20576,              10.169
            -0.12028,             -0.2142,              10.059
            -0.12028,            -0.21469,               10.19
            -0.12028,            -0.20838,               9.811
            -0.12028,            -0.21723,              10.138
            -0.12028,            -0.20263,               9.862
            -0.12028,             -0.2252,               9.933
            -0.12028,            -0.21316,              10.064
            -0.12028,            -0.21364,              11.072
            -0.12028,            -0.20888,              10.957
            -0.12028,            -0.20615,                9.95
            -0.12028,            -0.21122,              10.169
            -0.12028,            -0.22103,               10.09
            -0.12028,            -0.20483,              10.307
            -0.12028,            -0.21599,               9.908
            -0.12028,            -0.22034,              10.077
            -0.12028,            -0.21563,               9.879
            -0.12028,            -0.21701,              10.118
            -0.12028,            -0.21404,               9.412
            -0.12028,            -0.21342,              10.196
            -0.12028,            -0.21247,              10.103
            -0.12028,            -0.20831,              10.091
            -0.12028,            -0.22168,               9.898
            -0.12028,            -0.21466,               9.769
            -0.12028,            -0.22063,              10.068
            -0.12028,            -0.21199,               10.22
            -0.12028,            -0.21262,              10.013
            -0.12028,            -0.21262,               7.386
            -0.12028,            -0.19956,              10.337
            -0.12028,            -0.20964,               9.829
            -0.12028,            -0.20487,              10.242
            -0.12028,            -0.21254,               9.703
            -0.12028,            -0.21442,              10.433
            -0.12028,            -0.21431,               9.774
            -0.12028,            -0.22281,              10.222
            -0.12028,            -0.20841,               9.586
            -0.12028,            -0.21801,              10.227
            -0.12028,            -0.20649,               9.973
            -0.12028,            -0.21413,              11.117
            -0.12028,            -0.21475,               9.569
            -0.12028,            -0.20931,               9.846
            -0.12028,            -0.20973,               9.927
            -0.12028,            -0.22188,              10.238
            -0.12028,             -0.2118,               9.824
            -0.12028,            -0.21961,              10.021
            -0.12028,            -0.20662,               9.396
            -0.12028,            -0.21183,              10.212
            -0.12028,            -0.21666,               9.958
            -0.12028,            -0.20744,               9.899
            -0.12028,            -0.21432,               9.986
            -0.12028,            -0.21244,               10.22
            -0.12028,            -0.22346,               9.781
            -0.12028,            -0.21646,              10.216
            -0.12028,            -0.21932,               9.581
            -0.12028,            -0.22978,              10.466
            -0.12028,            -0.20642,               9.744
            -0.12028,            -0.20673,               12.09
            -0.12028,            -0.21967,               10.22
            -0.12028,            -0.20633,               9.619
            -0.12028,            -0.22126,               9.771
            -0.12028,            -0.22105,               9.295
            -0.12028,            -0.20959,               9.554
            -0.12028,            -0.22635,               9.607
            -0.12028,            -0.20578,              10.055
            -0.12028,            -0.21713,               9.854
            -0.12028,            -0.20489,               9.951
            -0.12028,            -0.20959,              10.304
            -0.12028,            -0.22007,               9.982
            -0.12028,            -0.21408,               9.965
            -0.12028,            -0.21795,               9.937
            -0.12028,            -0.20873,               10.19
            -0.12028,            -0.22139,               9.397
            -0.12028,            -0.21908,              10.244
            -0.12028,            -0.20575,               9.957
            -0.12028,              -0.221,              10.216
            -0.12028,            -0.20165,               9.789
            -0.12028,            -0.21743,              10.219
            -0.12028,            -0.21483,              12.944
            -0.12028,            -0.21252,               7.831
            -0.12028,            -0.22494,                9.48
            -0.12028,            -0.21707,               9.595
            -0.12028,            -0.21182,               9.922
            -0.12028,            -0.21913,              10.228
            -0.12028,            -0.20808,               9.569
            -0.12028,            -0.22028,              10.481
            -0.12028,            -0.20939,               9.519
            -0.12028,            -0.21801,              10.243
            -0.12028,            -0.21887,               9.964
            -0.12028,            -0.21524,              10.223
            -0.12028,            -0.22426,               9.778
