                   q,                 tau,                  dt
             -0.1499,            -0.15586,               10.05
             -0.1499,            -0.16451,              10.125
             -0.1499,            -0.16641,               9.501
             -0.1499,            -0.15552,               9.982
             -0.1499,            -0.15552,              12.905
             -0.1499,            -0.16297,               5.155
             -0.1499,             -0.1634,              10.431
             -0.1499,            -0.14853,               9.664
             -0.1499,            -0.16199,              10.335
             -0.1499,            -0.16278,               9.862
             -0.1499,            -0.15231,              10.137
             -0.1499,            -0.16467,               9.863
             -0.1499,            -0.15595,              10.156
             -0.1499,            -0.16078,               9.843
             -0.1499,            -0.16535,              10.139
             -0.1499,             -0.1534,               9.656
             -0.1499,            -0.16087,              10.456
             -0.1499,            -0.15805,               9.757
             -0.1499,            -0.15965,               9.925
             -0.1499,            -0.15893,              10.071
             -0.1499,            -0.15999,              10.129
             -0.1499,            -0.16065,               9.869
             -0.1499,            -0.14913,              10.131
             -0.1499,            -0.16408,              10.725
             -0.1499,            -0.14462,              10.302
             -0.1499,            -0.15695,               10.02
             -0.1499,            -0.16533,               9.437
             -0.1499,            -0.14604,               9.385
             -0.1499,            -0.15739,              11.878
             -0.1499,            -0.17269,              10.099
             -0.1499,            -0.15293,               9.809
             -0.1499,            -0.16336,               9.828
             -0.1499,            -0.16623,               9.278
             -0.1499,            -0.15189,               9.666
             -0.1499,            -0.16678,                9.55
             -0.1499,            -0.14826,              10.094
             -0.1499,            -0.15962,               10.26
             -0.1499,            -0.15989,              10.045
             -0.1499,            -0.14827,              10.189
             -0.1499,            -0.16375,               9.816
             -0.1499,             -0.1494,              10.007
             -0.1499,            -0.15894,              10.022
             -0.1499,             -0.1567,              10.194
             -0.1499,            -0.15988,               9.764
             -0.1499,              -0.166,              10.024
             -0.1499,            -0.15297,              10.011
             -0.1499,            -0.16344,              10.118
             -0.1499,            -0.14879,               9.935
             -0.1499,            -0.15742,               9.558
             -0.1499,            -0.15585,              10.217
             -0.1499,            -0.16061,              10.162
             -0.1499,             -0.1631,               10.48
             -0.1499,            -0.15976,              10.821
             -0.1499,            -0.16983,              10.407
             -0.1499,             -0.1515,               7.898
             -0.1499,            -0.16339,               9.871
             -0.1499,            -0.15983,              10.127
             -0.1499,            -0.15791,              11.677
             -0.1499,             -0.1522,              10.353
             -0.1499,            -0.16273,              10.024
             -0.1499,            -0.15064,              10.047
             -0.1499,            -0.15064,               7.393
             -0.1499,              -0.171,              12.864
             -0.1499,              -0.171,               7.188
             -0.1499,            -0.15501,              10.696
             -0.1499,            -0.15839,              10.177
             -0.1499,            -0.15182,              10.468
             -0.1499,            -0.15652,              10.001
             -0.1499,            -0.16237,              10.916
             -0.1499,            -0.15433,              10.259
             -0.1499,             -0.1613,               9.206
             -0.1499,            -0.16725,              10.802
             -0.1499,            -0.15524,               7.931
             -0.1499,            -0.15981,                9.87
             -0.1499,            -0.15741,              11.559
             -0.1499,             -0.1513,              10.104
             -0.1499,            -0.15757,               9.532
