                   q,                 tau,                  dt
                   0,                 2.1,          1.6078e+12
                   0,                 2.1,               0.435
                   0,                 2.1,               0.053
                   0,                 2.1,               0.047
                   0,                 2.1,               0.044
                   0,                 2.1,               0.046
                   0,                 2.1,               0.042
                   0,                 2.1,               7.534
                   0,            -0.13444,               5.277
                   0,            -0.13551,              10.215
                   0,            -0.13074,               9.907
                   0,            -0.13452,               10.14
                   0,            -0.14247,               9.718
                   0,            -0.12722,              10.271
                   0,            -0.13833,               10.08
                   0,            -0.14117,              10.136
                   0,              -0.137,               9.865
                   0,            -0.13992,              12.209
                   0,            -0.13095,                7.46
                   0,            -0.12757,              10.156
                   0,            -0.13638,              10.176
                   0,            -0.13638,              10.285
                   0,            -0.13773,               10.55
                   0,            -0.13746,              10.864
                   0,            -0.14151,               10.18
                   0,            -0.13633,              13.186
                   0,            -0.13519,               5.008
                   0,             -0.1351,              11.696
                   0,            -0.12985,               8.223
                   0,            -0.13161,               9.735
                   0,            -0.14283,              12.687
                   0,            -0.14021,               8.486
                   0,            -0.14179,               9.715
                   0,            -0.14215,                6.96
           0.0026928,            -0.13548,               7.653
           0.0017952,            -0.12839,              11.421
          -0.0062832,            -0.13327,               8.577
           -0.023338,             -0.1308,              10.515
           -0.028723,             -0.1332,               11.39
           -0.079886,            -0.14054,               8.541
           -0.087965,            -0.13715,               9.548
            -0.12746,             -2.3584,              10.107
            -0.12118,             -2.3584,              10.519
             -0.1104,            -0.13341,              11.762
            -0.10592,            -0.13341,               7.411
           -0.095145,            -0.13296,              11.704
           -0.084374,            -0.12395,              10.745
           -0.083477,            -0.13338,               7.801
           -0.079886,            -0.13796,               9.926
           -0.081681,            -0.12993,                9.91
            -0.10143,            -0.13654,              10.064
            -0.10412,            -0.12649,              10.166
            -0.13823,             -3.0087,                9.74
            -0.13644,            -0.11576,              10.417
            -0.12836,             -0.1299,               9.609
            -0.12566,            -0.13707,              10.233
            -0.12207,            -0.13227,              11.314
            -0.12207,             -0.1424,              10.702
            -0.12297,            -0.12952,               7.778
            -0.13644,             -0.1316,              11.586
            -0.13733,             -0.1751,              10.567
            -0.13733,             -0.1332,               8.433
            -0.13554,            -0.19375,              11.753
            -0.13644,            -0.26477,              10.165
            -0.13644,            -0.23774,               9.684
            -0.13644,            -0.24539,               9.886
            -0.13644,            -0.23084,               9.898
            -0.13644,            -0.24236,               9.748
            -0.13644,            -0.23341,               9.945
            -0.13644,            -0.21784,               9.463
            -0.13644,            -0.24178,               9.763
            -0.13644,            -0.21343,              10.172
            -0.13644,            -0.22971,               9.781
            -0.13644,            -0.23941,              10.032
            -0.13644,            -0.21912,                9.96
            -0.13644,            -0.24021,              10.557
            -0.13644,            -0.21552,              10.239
            -0.13644,            -0.22617,              10.371
            -0.13644,            -0.23292,               10.14
            -0.13644,            -0.23292,              17.939
            -0.13644,            -0.23292,               0.206
            -0.13644,            -0.21167,              10.365
            -0.13644,            -0.22194,               9.745
            -0.13644,            -0.22006,              10.507
            -0.13644,            -0.23464,              10.275
            -0.13644,            -0.22036,              10.926
            -0.13644,            -0.22638,              10.297
            -0.13644,            -0.22758,               8.113
            -0.13644,            -0.21345,               9.525
            -0.13644,            -0.21679,              12.924
            -0.13644,            -0.22365,               7.108
            -0.13644,            -0.20968,              10.264
            -0.13644,            -0.22662,               9.961
            -0.13644,            -0.21917,              10.218
            -0.13644,            -0.22312,               9.583
            -0.13644,            -0.22268,               10.23
            -0.13644,            -0.20575,               9.965
            -0.13644,            -0.21936,              10.218
            -0.13644,            -0.21723,               9.782
            -0.13644,             -0.2178,              10.217
            -0.13644,            -0.23141,               9.585
            -0.13644,            -0.21712,              10.416
            -0.13644,            -0.22637,               9.576
            -0.13644,            -0.21515,              10.433
            -0.13644,            -0.21609,               9.775
            -0.13644,            -0.22264,               10.27
            -0.13644,            -0.20708,               9.526
            -0.13644,            -0.21781,              10.428
            -0.13644,            -0.20412,               9.772
            -0.13644,            -0.21071,              10.222
            -0.13644,            -0.23285,               9.586
            -0.13644,            -0.21781,              10.416
            -0.13644,            -0.22686,               9.778
            -0.13644,            -0.21153,              10.223
            -0.13644,            -0.21114,               9.573
            -0.13644,            -0.22105,              10.421
            -0.13644,            -0.20557,               9.573
            -0.13644,            -0.22732,              10.294
            -0.13644,            -0.21457,               9.914
            -0.13644,            -0.21829,              10.212
            -0.13644,            -0.20915,              10.709
            -0.13644,            -0.20291,              10.029
            -0.13644,            -0.21547,               9.485
            -0.13644,            -0.21581,              10.257
            -0.13644,            -0.20676,               9.842
            -0.13644,            -0.22132,              10.225
            -0.13644,            -0.21122,               9.867
            -0.13644,            -0.21765,               9.916
            -0.13644,            -0.22082,               9.991
            -0.13644,            -0.21394,              10.229
            -0.13644,            -0.22061,               9.799
            -0.13644,            -0.20425,               9.955
            -0.13644,            -0.21597,              10.025
            -0.13644,             -0.2153,               9.921
            -0.13644,            -0.20899,              10.048
            -0.13644,            -0.23018,              10.185
            -0.13644,            -0.21081,                9.85
            -0.13644,            -0.22151,              10.199
            -0.13644,            -0.22289,               9.798
            -0.13644,             -0.2068,              10.168
            -0.13644,            -0.21982,               9.859
            -0.13644,              -0.203,              10.196
            -0.13644,             -0.2128,               9.788
            -0.13644,            -0.23876,               9.996
            -0.13644,            -0.21021,               9.986
            -0.13644,            -0.21804,              10.075
            -0.13644,            -0.20871,               9.956
            -0.13644,            -0.21547,                  10
            -0.13644,            -0.21433,               9.517
            -0.13644,            -0.20867,              10.451
            -0.13644,            -0.22296,               9.543
            -0.13644,             -0.2014,              10.273
            -0.13644,            -0.21813,               10.03
            -0.13644,            -0.21682,              10.133
            -0.13644,            -0.21754,               9.797
            -0.13644,            -0.21911,              10.035
            -0.13644,            -0.21051,               9.972
            -0.13644,            -0.21306,               9.932
            -0.13644,             -0.2141,              10.038
            -0.13644,            -0.20832,              10.213
            -0.13644,            -0.21818,               9.637
            -0.13644,            -0.21818,              12.142
            -0.13644,            -0.21036,               7.498
            -0.13644,            -0.20783,              10.451
            -0.13644,            -0.20746,               9.777
            -0.13644,            -0.22206,              10.225
            -0.13644,            -0.20688,                9.77
            -0.13644,            -0.21943,              10.579
            -0.13644,            -0.20516,              10.495
            -0.13644,            -0.20677,              10.903
            -0.13644,            -0.21782,              10.322
            -0.13644,            -0.20823,               9.619
            -0.13644,            -0.21425,              10.123
            -0.13644,            -0.22273,               9.954
            -0.13644,            -0.20763,               9.633
            -0.13644,            -0.21463,               9.365
            -0.13644,             -0.2029,               9.437
            -0.13644,            -0.21599,               10.14
            -0.13644,            -0.21238,              10.023
            -0.13644,            -0.21043,               9.765
            -0.13644,            -0.21802,               9.934
            -0.13644,            -0.20987,              10.473
            -0.13644,             -0.2168,               9.771
            -0.13644,            -0.21468,              10.184
            -0.13644,            -0.21123,               9.836
            -0.13644,            -0.21584,              10.245
            -0.13644,            -0.20554,               9.659
            -0.13644,            -0.22042,               10.19
            -0.13644,            -0.21582,               9.869
            -0.13644,            -0.20657,              10.143
            -0.13644,            -0.21514,               9.824
            -0.13644,            -0.20636,              10.083
            -0.13644,            -0.20862,               9.532
            -0.13644,            -0.20779,               10.13
            -0.13644,            -0.21341,              10.316
            -0.13644,            -0.20389,              10.936
            -0.13644,            -0.21158,              10.632
            -0.13644,            -0.22106,               9.319
            -0.13644,            -0.20957,              10.682
            -0.13644,            -0.22187,               9.891
            -0.13644,            -0.21305,               7.716
            -0.13644,            -0.21045,              10.605
            -0.13644,            -0.20905,              10.393
            -0.13644,            -0.20837,              10.458
            -0.13644,            -0.21085,                  11
            -0.13644,            -0.20546,              10.114
            -0.13644,            -0.21658,               7.688
            -0.13644,            -0.21401,              10.143
            -0.13644,            -0.21197,               10.29
            -0.13644,            -0.21901,              10.485
            -0.13644,            -0.20487,              10.451
            -0.13644,            -0.21046,               9.758
            -0.13644,            -0.20842,              10.756
            -0.13644,            -0.21376,              10.082
            -0.13644,            -0.20935,              10.362
            -0.13644,            -0.21928,              10.209
            -0.13644,            -0.21928,               7.279
            -0.13644,            -0.21275,              10.377
            -0.13644,            -0.21997,               10.18
            -0.13644,            -0.21601,              10.663
            -0.13644,             -0.2077,              11.263
            -0.13644,            -0.21213,               7.855
            -0.13644,            -0.21341,               9.866
            -0.13644,            -0.20741,              10.134
            -0.13644,            -0.21898,               9.867
            -0.13644,            -0.21338,              11.587
            -0.13644,            -0.20664,              10.591
            -0.13644,            -0.20768,              10.156
            -0.13644,            -0.20768,               7.371
            -0.13644,            -0.21756,               10.44
            -0.13644,            -0.20422,              10.174
            -0.13644,            -0.21084,              10.656
            -0.13644,            -0.21406,               11.31
            -0.13644,            -0.21538,               7.843
            -0.13644,            -0.22106,               9.871
            -0.13644,            -0.21689,              10.181
            -0.13644,            -0.20923,               9.819
            -0.13644,            -0.21497,               9.856
            -0.13644,            -0.20519,              10.029
            -0.13644,             -0.2122,              10.309
            -0.13644,            -0.20299,              10.345
            -0.13644,            -0.22167,              10.499
            -0.13644,            -0.21341,              11.163
            -0.13644,             -0.2076,               7.926
            -0.13644,            -0.22098,               9.873
            -0.13644,            -0.21155,              11.098
            -0.13644,            -0.20695,              10.693
            -0.13644,            -0.21407,              10.184
            -0.13644,            -0.21273,              10.233
            -0.13644,            -0.21382,              10.159
