                   q,                 tau,                  dt
                   0,                 2.1,          1.6078e+12
                   0,                 2.1,               1.085
                   0,                 2.1,                0.06
                   0,                 2.1,               0.048
                   0,                 2.1,               0.042
                   0,                 2.1,               0.046
                   0,                 2.1,               0.042
                   0,                 2.1,               8.714
                   0,            -0.13678,               13.51
                   0,            -0.13938,                4.38
                   0,            -0.13989,               9.599
                   0,             -0.1434,               9.495
                   0,            -0.13938,              10.273
                   0,            -0.14122,               9.846
                   0,            -0.14849,              10.223
                   0,            -0.13743,               9.859
                   0,            -0.14244,               9.371
                   0,            -0.13395,               11.79
                   0,            -0.14179,               9.174
                   0,            -0.13913,                9.57
                   0,            -0.13433,               9.861
                   0,            -0.13424,               9.877
                   0,            -0.13806,              10.187
                   0,            -0.13617,              10.085
                   0,            -0.13998,               9.933
                   0,            -0.13799,              10.082
                   0,            -0.13745,              10.044
                   0,            -0.13242,              12.007
                   0,            -0.13086,              11.168
                   0,            -0.13933,               6.007
                   0,            -0.13885,              11.395
                   0,            -0.13885,               9.964
                   0,            -0.13729,               8.717
                   0,              -0.128,              10.039
                   0,            -0.13964,              14.785
                   0,            -0.13776,               5.521
                   0,            -0.14526,              12.256
                   0,            -0.13953,               8.071
                   0,            -0.13529,              11.975
                   0,            -0.13627,               8.539
           0.0035904,            -0.13689,               8.143
           0.0017952,            -0.13267,               8.625
          -0.0062832,            -0.15395,               10.42
           -0.014362,             -0.1387,               9.574
           -0.043982,            -0.14007,               10.14
           -0.087067,            -0.13868,               9.912
            -0.13015,            -0.13317,              12.183
            -0.11848,            -0.15828,               8.482
             -0.1131,            -0.13065,               9.394
             -0.1122,            -0.14107,               9.864
            -0.14003,            -0.13084,              10.435
            -0.14362,            -0.14162,              10.467
            -0.13823,              0.1348,              10.664
            -0.14003,            -0.13551,              10.655
            -0.14003,            -0.25269,               10.53
            -0.14003,            -0.27544,              10.189
            -0.14003,            -0.27544,               7.574
            -0.14003,            -0.32796,              12.436
            -0.14003,            -0.27992,               9.794
            -0.14003,            -0.27992,               7.259
            -0.14003,            -0.29467,              10.652
            -0.14003,            -0.30296,              10.247
            -0.14003,            -0.26404,              10.524
            -0.14003,            -0.29029,              11.075
            -0.14003,              -0.255,               7.944
            -0.14003,            -0.26559,               9.505
            -0.14003,             -0.2868,              10.633
            -0.14003,            -0.26307,              10.157
            -0.14003,            -0.28242,              10.449
            -0.14003,            -0.26423,              10.495
            -0.14003,             -0.2515,               8.762
            -0.14003,            -0.25344,               9.872
            -0.14003,            -0.24967,              12.233
            -0.14003,            -0.24967,               7.539
            -0.14003,            -0.23536,              10.369
            -0.14003,            -0.24393,              10.268
            -0.14003,            -0.23789,              10.458
            -0.14003,             -0.2359,              10.476
            -0.14003,            -0.23976,               8.783
            -0.14003,            -0.21695,               9.873
            -0.14003,            -0.22421,              10.129
            -0.14003,            -0.23569,              11.792
            -0.14003,            -0.22348,              10.375
            -0.14003,            -0.22348,               7.343
            -0.14003,            -0.20478,              10.432
            -0.14003,            -0.21351,              10.227
            -0.14003,            -0.21184,              10.668
            -0.14003,            -0.21092,              11.448
            -0.14003,            -0.21127,               7.716
            -0.14003,              -0.203,               9.868
            -0.14003,            -0.19904,              10.135
            -0.14003,            -0.18768,              12.043
            -0.14003,            -0.20417,              10.002
            -0.14003,            -0.18704,              10.446
            -0.14003,            -0.18704,               7.619
            -0.14003,             -0.2047,              10.105
            -0.14003,            -0.19808,              10.439
            -0.14003,            -0.19132,              10.576
            -0.14003,            -0.20112,               8.815
            -0.14003,            -0.18498,              11.177
            -0.14003,            -0.19276,               8.773
            -0.14003,            -0.19975,               9.877
            -0.14003,            -0.18402,              10.127
            -0.14003,             -0.1951,              10.761
            -0.14003,            -0.18624,              10.701
            -0.14003,            -0.19143,               9.568
            -0.14003,            -0.19589,               8.966
            -0.14003,            -0.18765,              12.077
            -0.14003,            -0.17773,              14.368
            -0.14003,            -0.17773,                3.23
            -0.14003,             -0.1899,              10.665
            -0.14003,            -0.19533,              10.616
            -0.14003,            -0.18572,              10.734
            -0.14003,            -0.16925,              10.199
            -0.14003,            -0.18389,               9.796
            -0.14003,            -0.17721,                9.86
            -0.14003,            -0.17224,               9.178
            -0.14003,            -0.18007,               9.709
            -0.14003,            -0.17632,              10.047
            -0.14003,            -0.17957,              10.035
            -0.14003,            -0.17394,              10.088
            -0.14003,            -0.16584,              11.286
            -0.14003,            -0.18768,               8.835
            -0.14003,             -0.1756,               9.581
            -0.14003,            -0.17792,              10.124
            -0.14003,            -0.16909,              10.023
            -0.14003,            -0.17277,               9.558
            -0.14003,            -0.17457,               9.926
            -0.14003,            -0.17489,              10.873
            -0.14003,            -0.17026,              10.798
            -0.14003,            -0.17029,               8.848
            -0.14003,            -0.17662,               9.964
            -0.14003,            -0.18107,              10.207
            -0.14003,             -0.1636,               9.769
            -0.14003,            -0.18277,               9.799
            -0.14003,            -0.16891,              10.526
            -0.14003,            -0.17755,               9.822
            -0.14003,            -0.18327,               9.971
            -0.14003,            -0.16996,               9.973
            -0.14003,            -0.17931,               9.916
            -0.14003,            -0.17207,              10.107
            -0.14003,            -0.17436,                9.45
            -0.14003,            -0.18243,              10.422
            -0.14003,            -0.17157,               9.878
            -0.14003,            -0.16909,              10.324
            -0.14003,            -0.18006,                9.78
            -0.14003,            -0.18369,              10.542
            -0.14003,            -0.16687,              11.334
            -0.14003,            -0.17291,                7.76
            -0.14003,            -0.17594,               9.872
            -0.14003,            -0.16743,              10.184
            -0.14003,            -0.16085,              12.095
            -0.14003,            -0.18243,              10.051
            -0.14003,            -0.16398,              10.311
            -0.14003,            -0.17743,                7.25
            -0.14003,            -0.17164,               10.11
            -0.14003,            -0.17123,              10.129
            -0.14003,            -0.16937,                9.88
            -0.14003,             -0.1749,              10.122
            -0.14003,            -0.17148,              11.033
            -0.14003,             -0.1754,              10.866
            -0.14003,            -0.16494,              10.349
            -0.14003,            -0.16494,                7.83
            -0.14003,            -0.17324,              10.058
            -0.14003,            -0.16851,              10.693
            -0.14003,            -0.17382,              10.417
            -0.14003,            -0.17567,               8.755
            -0.14003,            -0.17911,              12.494
            -0.14003,            -0.17911,                7.53
            -0.14003,            -0.16649,               9.981
            -0.14003,             -0.1761,              10.706
            -0.14003,            -0.16971,              11.571
            -0.14003,            -0.17337,                7.72
            -0.14003,            -0.16785,              12.467
