                   q,                 tau,                  dt
            -0.14003,            -0.16785,                7.44
            -0.14003,            -0.16617,              10.285
            -0.14003,            -0.16936,              10.559
            -0.14003,            -0.16236,              10.455
            -0.14003,            -0.17476,               8.789
            -0.14003,            -0.16778,               9.871
            -0.14003,            -0.16564,              10.133
            -0.14003,            -0.17949,               9.868
            -0.14003,            -0.16583,              10.132
            -0.14003,            -0.16651,              11.947
            -0.14003,            -0.16912,               9.988
            -0.14003,            -0.17072,              10.204
            -0.14003,            -0.16522,               10.15
            -0.14003,            -0.17186,              10.025
            -0.14003,            -0.16741,               9.981
            -0.14003,            -0.17156,              10.042
            -0.14003,            -0.17121,               9.922
            -0.14003,            -0.16877,                9.96
            -0.14003,            -0.17781,               9.941
            -0.14003,            -0.16977,              10.055
            -0.14003,            -0.16907,              10.165
            -0.14003,            -0.16907,               7.181
            -0.14003,            -0.16835,              12.342
            -0.14003,            -0.17159,               7.915
            -0.14003,            -0.16432,              10.072
            -0.14003,            -0.17034,               9.978
            -0.14003,             -0.1602,              10.135
            -0.14003,            -0.17346,                9.87
            -0.14003,            -0.16776,              10.185
            -0.14003,             -0.1662,               9.555
            -0.14003,            -0.17767,              10.389
            -0.14003,            -0.16652,               9.866
            -0.14003,            -0.16652,              12.901
            -0.14003,            -0.17159,               7.019
            -0.14003,            -0.17692,              16.425
            -0.14003,            -0.17093,               3.415
            -0.14003,            -0.16044,              10.382
            -0.14003,            -0.16685,              12.482
            -0.14003,            -0.16685,               7.652
            -0.14003,            -0.16971,               9.794
            -0.14003,            -0.15924,               10.11
            -0.14003,            -0.16569,              10.188
            -0.14003,            -0.17649,              10.649
            -0.14003,            -0.16557,              11.095
            -0.14003,            -0.17248,               8.017
            -0.14003,            -0.17498,               9.565
            -0.14003,            -0.17317,              10.164
            -0.14003,            -0.16744,              10.141
            -0.14003,             -0.1729,              10.133
            -0.14003,            -0.17092,               9.871
            -0.14003,            -0.17508,              10.131
            -0.14003,            -0.16714,               9.865
            -0.14003,            -0.16521,              12.208
            -0.14003,            -0.17941,               10.19
            -0.14003,            -0.16648,               9.869
            -0.14003,            -0.17261,              10.137
            -0.14003,            -0.16937,               9.923
            -0.14003,            -0.17165,               9.961
            -0.14003,            -0.17374,              10.162
            -0.14003,            -0.16463,              10.103
            -0.14003,            -0.17342,               9.871
            -0.14003,            -0.17158,              10.059
            -0.14003,             -0.1693,               9.328
            -0.14003,            -0.17341,              10.161
            -0.14003,            -0.16622,               8.848
            -0.14003,            -0.17072,               9.748
            -0.14003,            -0.16959,               9.867
            -0.14003,            -0.17121,              10.135
            -0.14003,            -0.16868,               9.824
            -0.14003,            -0.16245,              10.198
            -0.14003,            -0.17651,               9.551
            -0.14003,              -0.167,               9.857
            -0.14003,            -0.17045,              12.447
            -0.14003,            -0.16907,                7.76
            -0.14003,            -0.17288,              10.035
            -0.14003,             -0.1666,               10.24
