             q [rad],            tau [Nm],             dt [ms]
                   0,                 2.1,          1.6078e+12
                   0,                 2.1,               0.443
                   0,                 2.1,               0.053
                   0,                 2.1,               0.048
                   0,                 2.1,               0.043
                   0,                 2.1,               0.045
                   0,                 2.1,               0.042
                   0,            -0.14143,               6.572
                   0,            -0.15462,              10.074
                   0,            -0.15462,               7.165
                   0,            -0.13479,                10.4
                   0,            -0.14125,              10.466
                   0,            -0.13639,              10.696
                   0,            -0.13172,              10.987
                   0,            -0.13667,               9.703
                   0,            -0.13037,               7.748
                   0,            -0.13317,              10.549
                   0,            -0.13846,               9.856
                   0,            -0.13576,              10.244
                   0,            -0.14149,              10.063
                   0,            -0.13006,              10.368
                   0,            -0.12979,              10.459
                   0,            -0.13635,              10.717
                   0,            -0.13034,              10.177
                   0,            -0.13367,                9.62
                   0,            -0.13151,               8.712
                   0,            -0.13791,               9.267
                   0,            -0.13285,              10.051
                   0,            -0.13561,              13.914
                   0,            -0.13174,               8.748
                   0,            -0.13522,               8.706
                   0,            -0.13295,               9.655
                   0,            -0.13524,               8.708
           0.0026928,            -0.12921,               7.807
           0.0017952,            -0.14326,               8.129
          -0.0053856,            -0.13261,              12.235
            -0.01885,            -0.12793,               9.055
           -0.031416,            -0.12911,               8.411
           -0.073603,            -0.12911,              11.166
           -0.091555,            -0.13412,               8.822
            -0.12297,            -0.13412,              10.993
            -0.13284,             0.23542,              12.851
            -0.12656,             -0.1294,               8.322
            -0.12656,            -0.13344,               8.047
            -0.14003,            -0.13377,              11.647
            -0.14631,            -0.13739,               10.71
            -0.14272,            -0.12018,               8.495
            -0.14272,            -0.12477,               9.037
            -0.14721,            -0.31362,              10.612
            -0.14721,            -0.31151,               9.387
            -0.14631,            -0.24238,              10.462
            -0.14631,            -0.26461,               9.827
            -0.14631,            -0.23698,              10.136
            -0.14631,            -0.25069,               9.862
            -0.14631,            -0.26258,              10.136
            -0.14631,            -0.21141,               9.868
            -0.14631,            -0.25305,              10.126
            -0.14631,            -0.21827,               11.07
            -0.14631,            -0.22867,                8.93
            -0.14631,            -0.24812,               9.876
            -0.14631,            -0.24154,              12.704
            -0.14631,            -0.23712,               7.461
            -0.14631,             -0.2333,              10.663
            -0.14631,            -0.24229,               10.48
            -0.14631,            -0.21623,               9.973
            -0.14631,            -0.22882,              10.889
            -0.14631,             -0.2229,              10.159
            -0.14631,            -0.24494,              10.239
            -0.14631,            -0.24494,               7.545
            -0.14631,            -0.22402,              10.139
            -0.14631,            -0.23348,              10.607
            -0.14631,            -0.24102,              10.494
            -0.14631,            -0.20981,               8.772
            -0.14631,            -0.23449,               9.872
            -0.14631,             -0.2306,              10.129
            -0.14631,            -0.22304,              12.076
            -0.14631,            -0.23554,              10.465
            -0.14631,            -0.23406,                7.53
            -0.14631,            -0.23556,              10.732
            -0.14631,            -0.22407,              11.412
            -0.14631,             -0.2237,               7.882
            -0.14631,            -0.23873,               9.774
            -0.14631,            -0.22169,              10.185
            -0.14631,            -0.22733,               9.816
            -0.14631,            -0.22729,              10.128
            -0.14631,            -0.23517,               9.872
            -0.14631,            -0.23295,              10.129
            -0.14631,            -0.21829,                9.87
            -0.14631,             -0.2307,              10.132
            -0.14631,            -0.22666,               10.65
            -0.14631,            -0.22637,              10.054
            -0.14631,            -0.23115,              11.391
            -0.14631,            -0.21721,              10.231
            -0.14631,            -0.22862,               7.359
            -0.14631,            -0.23523,              12.109
            -0.14631,            -0.22023,               10.04
            -0.14631,            -0.21742,               9.608
            -0.14631,            -0.23661,              10.335
            -0.14631,            -0.21034,               8.623
            -0.14631,            -0.22329,               9.721
            -0.14631,            -0.21691,               9.689
            -0.14631,            -0.22672,              10.061
            -0.14631,            -0.21601,               10.12
            -0.14631,            -0.22468,              10.897
            -0.14631,            -0.22285,              11.102
            -0.14631,            -0.23082,               7.817
            -0.14631,            -0.22873,              10.212
            -0.14631,             -0.2221,              10.179
            -0.14631,            -0.22209,               10.68
            -0.14631,            -0.21276,              11.175
            -0.14631,            -0.21975,               7.946
            -0.14631,            -0.22833,                9.87
            -0.14631,            -0.21772,              10.129
            -0.14631,            -0.22107,               9.871
            -0.14631,            -0.22846,              12.714
            -0.14631,             -0.2251,                 7.6
            -0.14631,            -0.23153,              10.596
            -0.14631,             -0.2144,              10.464
            -0.14631,            -0.22271,               8.803
            -0.14631,             -0.2195,               9.824
            -0.14631,            -0.21375,              12.649
            -0.14631,            -0.22025,               7.576
            -0.14631,            -0.22048,              10.563
            -0.14631,            -0.22473,              10.473
            -0.14631,            -0.21741,               8.869
            -0.14631,            -0.21602,              11.952
            -0.14631,            -0.21308,              10.333
            -0.14631,            -0.21308,               7.195
            -0.14631,            -0.22481,               10.66
            -0.14631,            -0.21028,              10.148
            -0.14631,            -0.22477,              10.374
            -0.14631,            -0.23391,              10.136
            -0.14631,            -0.21913,              10.531
            -0.14631,            -0.22529,              10.816
            -0.14631,            -0.21449,               7.855
            -0.14631,            -0.21789,              11.777
            -0.14631,            -0.21785,               9.865
            -0.14631,            -0.22427,               9.953
            -0.14631,            -0.21177,              10.069
            -0.14631,             -0.2218,               10.24
            -0.14631,            -0.21421,               9.954
            -0.14631,            -0.21646,              10.225
            -0.14631,            -0.22802,               9.868
            -0.14631,            -0.21086,               10.07
            -0.14631,            -0.22447,              10.512
            -0.14631,            -0.22447,               7.032
            -0.14631,            -0.21511,              10.563
            -0.14631,            -0.21163,              10.168
            -0.14631,             -0.2312,              10.376
            -0.14631,            -0.21908,               10.13
            -0.14631,            -0.22555,              10.941
            -0.14631,            -0.23394,              10.335
            -0.14631,            -0.20683,                7.92
            -0.14631,            -0.22043,               9.871
            -0.14631,            -0.21509,              10.127
            -0.14631,            -0.21219,               9.872
            -0.14631,            -0.22918,              12.692
            -0.14631,             -0.2114,               7.606
            -0.14631,            -0.22246,              10.608
            -0.14631,            -0.21894,              10.444
            -0.14631,            -0.21656,               8.781
            -0.14631,            -0.22456,               9.869
            -0.14631,            -0.20843,              12.746
            -0.14631,            -0.22513,               7.592
            -0.14631,            -0.21128,              10.628
            -0.14631,            -0.22224,              11.219
            -0.14631,            -0.22635,               7.945
            -0.14631,            -0.22138,               9.872
            -0.14631,             -0.2293,              10.128
            -0.14631,            -0.22015,                9.87
            -0.14631,             -0.2181,              12.222
            -0.14631,            -0.21605,               7.746
            -0.14631,            -0.21522,              10.164
            -0.14631,            -0.22493,              10.293
            -0.14631,            -0.21474,               10.36
            -0.14631,            -0.22466,               10.17
            -0.14631,             -0.2247,              10.816
            -0.14631,            -0.21303,               10.39
            -0.14631,            -0.22505,               7.968
            -0.14631,            -0.21321,                9.87
            -0.14631,             -0.2141,               10.13
            -0.14631,            -0.22775,                9.87
            -0.14631,            -0.21528,              11.309
            -0.14631,            -0.20332,              11.459
            -0.14631,            -0.20332,               7.346
            -0.14631,            -0.22342,              10.298
            -0.14631,            -0.22663,               10.41
            -0.14631,            -0.21244,               11.39
            -0.14631,             -0.2208,               7.919
            -0.14631,            -0.21568,              12.227
            -0.14631,            -0.21824,               7.842
            -0.14631,            -0.23146,              10.344
            -0.14631,             -0.2187,              10.456
            -0.14631,            -0.22471,              11.185
            -0.14631,            -0.22161,               7.945
            -0.14631,            -0.21629,               9.872
            -0.14631,            -0.22399,              10.182
            -0.14631,            -0.20937,               9.817
            -0.14631,            -0.22504,               10.13
            -0.14631,            -0.21629,                9.87
            -0.14631,            -0.22031,              10.129
            -0.14631,            -0.23301,               9.871
            -0.14631,            -0.21234,              11.033
            -0.14631,             -0.2285,              10.238
            -0.14631,            -0.21157,               9.879
            -0.14631,            -0.21477,              10.708
            -0.14631,            -0.21726,              10.059
            -0.14631,             -0.2236,              10.192
            -0.14631,            -0.21542,              10.066
            -0.14631,            -0.22472,               9.741
            -0.14631,            -0.22232,               9.922
            -0.14631,            -0.21801,              10.176
            -0.14631,            -0.22425,               9.797
            -0.14631,            -0.20835,              10.195
            -0.14631,            -0.22265,               9.913
            -0.14631,             -0.2151,              10.049
            -0.14631,            -0.21415,               9.703
            -0.14631,            -0.22403,              10.171
            -0.14631,            -0.21876,               9.627
            -0.14631,            -0.22373,                9.13
            -0.14631,            -0.21835,               9.999
            -0.14631,            -0.21785,               9.927
            -0.14631,            -0.22106,              10.323
            -0.14631,            -0.21148,               9.757
            -0.14631,            -0.22101,               9.969
            -0.14631,             -0.2096,               9.935
            -0.14631,            -0.21865,              10.226
            -0.14631,            -0.22181,               9.753
            -0.14631,            -0.21379,              10.055
            -0.14631,            -0.23084,               9.975
            -0.14631,            -0.21222,               9.779
            -0.14631,            -0.21603,               9.804
            -0.14631,            -0.21913,              10.432
            -0.14631,            -0.21529,               9.979
            -0.14631,            -0.22095,               9.784
            -0.14631,            -0.22095,              12.836
            -0.14631,            -0.21426,               6.739
            -0.14631,            -0.21071,               10.13
            -0.14631,            -0.22621,              10.131
            -0.14631,            -0.22447,              12.412
            -0.14631,            -0.22261,               7.583
            -0.14631,            -0.22166,              10.258
            -0.14631,            -0.21526,              10.562
            -0.14631,            -0.22162,               11.49
            -0.14631,            -0.21515,               7.693
            -0.14631,            -0.22745,              12.503
            -0.14631,            -0.22244,               7.474
            -0.14631,            -0.22223,              10.321
