             q [rad],            tau [Nm],             dt [ms]
            -0.11848,            -0.17484,              10.353
            -0.11848,            -0.17148,               9.926
            -0.11848,            -0.16485,               9.886
            -0.11848,            -0.18278,              10.707
            -0.11848,            -0.16197,              11.109
            -0.11848,            -0.17754,              10.069
            -0.11848,            -0.18379,              10.206
            -0.11848,            -0.15981,               9.971
            -0.11848,            -0.17156,              10.101
            -0.11848,            -0.16707,              10.092
            -0.11848,            -0.16739,              10.081
            -0.11848,            -0.17786,               9.918
            -0.11848,            -0.16488,              10.195
            -0.11848,            -0.17434,              10.679
            -0.11848,            -0.17581,               6.657
            -0.11848,            -0.17026,              10.291
            -0.11848,            -0.18153,                9.97
            -0.11848,            -0.17897,               9.849
            -0.11848,            -0.18221,               9.878
            -0.11848,            -0.16232,              10.011
            -0.11848,            -0.17758,               9.852
            -0.11848,            -0.17056,              10.028
            -0.11848,            -0.17271,              10.148
            -0.11848,            -0.18107,              10.131
            -0.11848,             -0.1649,               9.839
            -0.11848,            -0.16592,              10.018
            -0.11848,            -0.16876,               9.853
            -0.11848,            -0.17101,              10.092
            -0.11848,            -0.17407,               9.649
            -0.11848,            -0.16782,              10.182
            -0.11848,             -0.1766,              10.092
            -0.11848,            -0.17217,              10.121
            -0.11848,              -0.169,               9.902
            -0.11848,            -0.17263,              10.096
            -0.11848,            -0.16723,               9.946
            -0.11848,            -0.17508,              10.142
            -0.11848,            -0.17024,               9.915
            -0.11848,             -0.1722,              10.023
            -0.11848,            -0.17996,               9.815
            -0.11848,            -0.17207,              10.021
            -0.11848,            -0.17576,               9.783
            -0.11848,            -0.17153,              10.173
            -0.11848,            -0.16315,               9.739
            -0.11848,            -0.16299,               9.913
            -0.11848,            -0.16523,              11.712
            -0.11848,            -0.17657,               8.584
            -0.11848,            -0.17281,              10.133
            -0.11848,            -0.17209,               9.793
            -0.11848,            -0.16999,              10.381
            -0.11848,             -0.1695,               9.961
            -0.11848,            -0.17316,               9.881
            -0.11848,            -0.17418,               9.865
            -0.11848,            -0.16791,              10.349
            -0.11848,            -0.18045,              10.047
            -0.11848,            -0.16556,               9.969
            -0.11848,            -0.17344,               9.773
            -0.11848,            -0.17409,                10.3
            -0.11848,            -0.17067,               9.981
            -0.11848,            -0.17888,               9.952
            -0.11848,            -0.17143,               9.759
            -0.11848,            -0.17376,              10.254
            -0.11848,            -0.17397,              12.023
            -0.11848,              -0.177,               7.434
            -0.11848,             -0.1613,               10.12
            -0.11848,            -0.16884,              10.561
            -0.11848,            -0.17657,               9.438
            -0.11848,            -0.17407,              10.713
            -0.11848,            -0.16322,               9.824
            -0.11848,             -0.1821,               9.954
            -0.11848,            -0.16922,               9.968
            -0.11848,            -0.17251,              10.067
            -0.11848,            -0.17599,               9.682
            -0.11848,            -0.16928,              10.278
            -0.11848,            -0.17986,              10.456
            -0.11848,            -0.15981,              10.335
            -0.11848,            -0.17402,               9.782
            -0.11848,            -0.18112,              10.776
            -0.11848,            -0.16954,              10.348
