             q [rad],            tau [Nm],             dt [ms]
                   0,                 2.1,          1.6078e+12
                   0,                 2.1,               0.438
                   0,                 2.1,               0.054
                   0,                 2.1,                0.09
                   0,                 2.1,               0.046
                   0,                 2.1,               0.048
                   0,                 2.1,               0.042
                   0,                 2.1,               0.045
                   0,            -0.14322,              10.196
                   0,            -0.13857,               9.767
                   0,            -0.13594,              10.777
                   0,             -0.1228,               9.985
                   0,            -0.13578,              10.708
                   0,            -0.13349,              10.239
                   0,             -0.1323,               9.196
                   0,            -0.13489,               9.777
                   0,            -0.14362,                9.54
                   0,              -0.139,               9.886
                   0,            -0.14028,              10.351
                   0,            -0.13154,               9.859
                   0,            -0.13759,              10.128
                   0,             -0.1325,              13.825
                   0,            -0.13136,               7.869
                   0,            -0.13076,               7.791
                   0,            -0.13014,              14.921
                   0,            -0.13014,               6.321
                   0,            -0.14142,               8.888
                   0,              -0.128,              11.203
                   0,            -0.14464,              13.177
                   0,            -0.13045,               8.695
                   0,            -0.13328,               7.964
                   0,            -0.12593,              10.391
                   0,            -0.13538,               7.424
           0.0026928,             -0.1303,                3.92
           0.0035904,            -0.13744,              10.211
          -0.0017952,            -0.13744,               7.489
           -0.016157,            -0.13503,              14.988
           -0.027826,            -0.13492,               5.258
           -0.045778,            -0.13461,              10.064
            -0.10322,            -0.13461,              10.095
            -0.13733,            -0.13497,              12.543
            -0.12836,             -1.9193,                7.82
            -0.12028,            -0.14046,              11.762
            -0.12746,            -0.14046,               7.479
            -0.13823,            -0.12696,              10.625
            -0.13644,            -0.12956,               9.454
            -0.13374,            -0.12843,              10.294
            -0.13733,             -0.6163,               9.716
            -0.13733,             -0.3088,              11.619
            -0.13733,            -0.21144,               9.551
            -0.13733,            -0.24117,              10.105
            -0.13733,             -0.2335,              11.298
            -0.13733,            -0.22737,               8.819
            -0.13733,             -0.2476,              10.064
            -0.13733,            -0.22897,              10.811
            -0.13733,            -0.23766,               9.737
            -0.13733,            -0.23398,               9.145
            -0.13733,            -0.21169,               9.817
            -0.13733,              -0.238,               9.825
            -0.13733,             -0.2298,               10.05
            -0.13733,            -0.21845,               10.23
            -0.13733,            -0.24404,                9.82
            -0.13733,             -0.2202,               9.854
