             q [rad],            tau [Nm],             dt [ms]
            -0.13733,             -0.2177,              10.052
            -0.13733,            -0.22843,              10.193
            -0.13733,            -0.21901,               9.845
            -0.13733,            -0.23183,               9.943
            -0.13733,            -0.21915,               9.979
            -0.13733,            -0.22466,              10.123
            -0.13733,            -0.22139,               9.941
            -0.13733,            -0.22301,              10.187
            -0.13733,            -0.22359,               9.833
            -0.13733,            -0.21706,              10.164
            -0.13733,            -0.22578,               9.826
            -0.13733,            -0.21987,              10.016
            -0.13733,            -0.22001,               9.564
            -0.13733,            -0.22657,              10.062
            -0.13733,            -0.21962,               9.859
            -0.13733,            -0.23125,              10.132
            -0.13733,            -0.21063,               9.869
            -0.13733,             -0.2303,              10.129
            -0.13733,            -0.22019,              12.064
            -0.13733,            -0.22397,               7.906
            -0.13733,            -0.21942,              10.193
            -0.13733,            -0.21833,              10.576
            -0.13733,            -0.22518,               9.876
            -0.13733,            -0.21998,              10.466
            -0.13733,            -0.23088,              10.146
            -0.13733,            -0.23115,               8.773
            -0.13733,            -0.22265,              11.654
            -0.13733,            -0.21204,              10.422
            -0.13733,            -0.22446,              10.306
            -0.13733,            -0.21217,               9.948
            -0.13733,            -0.21769,              10.069
            -0.13733,            -0.23449,               9.921
            -0.13733,            -0.21925,              10.111
            -0.13733,            -0.22524,               9.894
            -0.13733,            -0.22174,              10.096
            -0.13733,            -0.21395,               9.874
            -0.13733,            -0.21395,               7.291
            -0.13733,            -0.22417,              10.482
            -0.13733,             -0.2112,               10.18
            -0.13733,            -0.22418,              10.707
            -0.13733,            -0.21722,              11.077
            -0.13733,            -0.21606,              13.797
            -0.13733,            -0.22426,               4.791
            -0.13733,            -0.22962,               9.086
            -0.13733,            -0.21657,              10.165
            -0.13733,            -0.23235,              10.213
            -0.13733,            -0.21337,              10.126
            -0.13733,            -0.22858,               11.29
            -0.13733,            -0.21404,              10.581
            -0.13733,            -0.22884,              10.071
            -0.13733,             -0.2309,              10.546
            -0.13733,            -0.21608,               7.553
            -0.13733,            -0.23611,              10.362
            -0.13733,            -0.21474,              10.461
            -0.13733,            -0.22068,              11.048
            -0.13733,            -0.22035,               7.959
            -0.13733,            -0.21215,               9.789
            -0.13733,            -0.22346,              10.213
            -0.13733,            -0.22087,               9.788
            -0.13733,            -0.22532,              10.213
            -0.13733,            -0.23334,               9.787
            -0.13733,            -0.21643,              12.748
            -0.13733,            -0.23536,               7.574
            -0.13733,             -0.2067,              10.592
            -0.13733,            -0.21972,              10.439
            -0.13733,            -0.22162,               8.861
            -0.13733,            -0.22236,              12.334
            -0.13733,            -0.21743,               7.435
            -0.13733,            -0.23148,               9.872
            -0.13733,             -0.2104,              10.189
            -0.13733,             -0.2291,               9.956
            -0.13733,             -0.2074,              10.219
            -0.13733,            -0.22179,               9.781
            -0.13733,            -0.22449,              10.225
            -0.13733,            -0.21372,                9.58
            -0.13733,            -0.22483,              10.278
            -0.13733,            -0.21704,               9.713
            -0.13733,            -0.22733,              10.428
            -0.13733,            -0.22835,                9.57
            -0.13733,            -0.21645,               10.43
            -0.13733,            -0.22944,               9.775
            -0.13733,            -0.21119,              10.219
            -0.13733,            -0.22157,                9.78
            -0.13733,              -0.215,               10.37
            -0.13733,            -0.21518,              10.477
            -0.13733,            -0.23119,              10.457
            -0.13733,            -0.21861,              10.881
            -0.13733,            -0.22712,               9.794
            -0.13733,            -0.21349,                7.72
            -0.13733,            -0.22258,              10.505
            -0.13733,            -0.21336,              10.203
            -0.13733,              -0.214,              10.583
            -0.13733,             -0.2244,              11.216
            -0.13733,            -0.21222,               9.698
            -0.13733,            -0.22391,               7.781
            -0.13733,            -0.22263,              10.555
            -0.13733,            -0.22216,              10.093
            -0.13733,            -0.22831,              10.662
            -0.13733,            -0.20861,              11.274
            -0.13733,            -0.22215,               7.954
            -0.13733,            -0.22786,               9.779
            -0.13733,             -0.2102,              10.257
            -0.13733,            -0.22528,              11.064
            -0.13733,            -0.21353,               8.893
            -0.13733,             -0.2147,               9.786
            -0.13733,             -0.2293,              12.801
            -0.13733,            -0.22109,               7.591
            -0.13733,            -0.22623,              10.662
            -0.13733,             -0.2083,              11.119
            -0.13733,            -0.21814,               8.039
            -0.13733,            -0.22479,               9.479
            -0.13733,            -0.22961,              10.339
            -0.13733,             -0.2208,                9.97
            -0.13733,            -0.22016,              10.212
            -0.13733,            -0.22102,              12.359
            -0.13733,             -0.2083,               7.745
            -0.13733,            -0.21581,              10.407
            -0.13733,            -0.22717,              10.401
            -0.13733,            -0.20827,               9.795
            -0.13733,            -0.21938,              10.674
            -0.13733,            -0.22514,               10.56
            -0.13733,            -0.22132,              10.004
            -0.13733,            -0.22452,               7.491
            -0.13733,            -0.22288,              12.494
            -0.13733,            -0.20792,               7.654
            -0.13733,            -0.22055,              10.252
            -0.13733,            -0.21177,               9.952
            -0.13733,            -0.21936,              10.266
            -0.13733,            -0.22686,               9.733
            -0.13733,            -0.22158,              10.042
            -0.13733,            -0.22746,               9.966
            -0.13733,            -0.21158,              11.165
            -0.13733,            -0.22881,               10.15
            -0.13733,            -0.20801,              11.692
            -0.13733,            -0.22282,               7.672
            -0.13733,            -0.21153,               10.42
            -0.13733,            -0.21428,                9.81
            -0.13733,             -0.2319,              10.755
            -0.13733,            -0.21544,               10.54
            -0.13733,            -0.22766,               9.068
            -0.13733,            -0.22394,              10.992
            -0.13733,            -0.22168,              14.499
            -0.13733,            -0.22002,               5.193
            -0.13733,            -0.22289,              10.005
            -0.13733,            -0.21483,               9.671
            -0.13733,            -0.22424,               9.429
            -0.13733,            -0.22716,               9.401
            -0.13733,             -0.2189,              10.112
            -0.13733,            -0.22522,               9.987
            -0.13733,            -0.21652,              10.208
            -0.13733,            -0.21906,               9.707
            -0.13733,             -0.2161,              10.167
            -0.13733,             -0.2143,                9.83
            -0.13733,            -0.22161,              10.124
            -0.13733,            -0.21453,               9.872
            -0.13733,             -0.2221,                9.59
            -0.13733,            -0.21568,               9.721
            -0.13733,            -0.20995,              10.229
            -0.13733,             -0.2223,               9.987
            -0.13733,              -0.212,              10.225
            -0.13733,            -0.22183,               9.571
            -0.13733,            -0.20894,              10.235
            -0.13733,            -0.21893,               9.763
            -0.13733,            -0.22523,              10.302
            -0.13733,            -0.22063,               9.901
            -0.13733,            -0.22744,              10.135
            -0.13733,            -0.22077,                9.67
            -0.13733,            -0.22479,               10.33
            -0.13733,            -0.22504,                9.66
            -0.13733,            -0.21426,               10.34
            -0.13733,            -0.22405,                9.66
            -0.13733,            -0.20864,              10.341
            -0.13733,            -0.22342,               9.657
            -0.13733,            -0.23067,              10.344
            -0.13733,            -0.21443,               9.863
            -0.13733,             -0.2268,              10.331
            -0.13733,            -0.21471,              10.788
            -0.13733,            -0.21517,              10.701
            -0.13733,            -0.21967,              10.082
            -0.13733,            -0.21114,              10.092
            -0.13733,            -0.21066,              10.179
            -0.13733,            -0.22866,               9.753
            -0.13733,            -0.21817,              10.103
            -0.13733,            -0.22394,               8.965
            -0.13733,            -0.21285,               9.455
            -0.13733,            -0.22375,              10.036
            -0.13733,            -0.22122,               9.919
