             q [rad],        qvel [rad/s],            tau [Nm],              i [mA],             dt [ms]
                   0,                   0,            0.019669,                   0,          1.6078e+12
                   0,                   0,            0.019669,                   0,                0.53
                   0,                   0,            0.019669,                   0,               0.064
                   0,                   0,            0.019669,                   0,               0.055
                   0,                   0,            0.019669,                   0,               0.049
                   0,                   0,            0.019669,                   0,               0.053
                   0,                   0,            0.019669,                   0,               0.049
                   0,                   0,            0.019669,                   0,               8.216
                   0,                   0,           -0.009826,                   0,               4.667
                   0,                   0,          -0.0092428,                   0,               11.14
                   0,                   0,          -0.0099118,                   0,               10.53
                   0,                   0,          -0.0091054,                   0,              10.614
                   0,                   0,          -0.0087077,                   0,                9.94
                   0,                   0,           -0.011082,                   0,               8.027
                   0,                   0,            -0.01031,                   0,              12.493
                   0,                   0,          -0.0096352,                   0,               7.282
                   0,                   0,          -0.0087377,                   0,              10.582
                   0,                   0,           -0.010145,                   0,              12.211
                   0,                   0,           -0.010228,                   0,               7.346
                   0,                   0,          -0.0093823,                   0,              10.001
                   0,                   0,           -0.010428,                   0,              10.848
                   0,                   0,           -0.010477,                   0,               9.259
                   0,                   0,          -0.0099106,                   0,               10.13
                   0,                   0,           -0.009291,                   0,               9.871
                   0,                   0,           -0.009967,                   0,              10.129
                   0,                   0,           -0.010166,                   0,                9.87
                   0,                   0,          -0.0091361,                   0,              12.121
                   0,                   0,           -0.010082,                   0,               7.661
                   0,                   0,          -0.0096473,                   0,              12.158
                   0,                   0,          -0.0095609,                   0,               9.994
                   0,                   0,           -0.011532,                   0,              14.784
                   0,                   0,           -0.010459,                   0,               3.148
                   0,                   0,           -0.008595,                   0,               12.81
                   0,                   0,           -0.010381,                   0,              11.404
                   0,                   0,          -0.0095264,                   0,               5.842
                   0,                   0,           -0.010168,                   0,              12.152
                   0,                   0,          -0.0094789,                   0,               7.872
                   0,                   0,           -0.010371,                   0,              10.282
                   0,                   0,          -0.0099479,                   0,               8.734
          -0.0008976,                   0,            0.063138,                   0,               7.944
          -0.0008976,                   0,           -0.022478,                  16,              11.943
          -0.0017952,                   0,           -0.019002,                -258,              10.612
          -0.0026928,                   0,          -0.0059905,                 -49,              10.319
          -0.0035904,                   0,             -0.0198,                -146,               7.809
          -0.0035904,                   0,           0.0023537,                 -65,               10.84
          -0.0035904,                   0,           -0.007779,                -162,              11.111
