             q [rad],        qvel [rad/s],            tau [Nm],              i [mA],             dt [ms]
          -0.0017952,                   0,          -0.0049232,                  12,               10.13
          -0.0017952,                   0,          -0.0071448,                  12,              12.025
          -0.0017952,                   0,          -0.0036275,                 -20,               7.945
          -0.0017952,                   0,          -0.0070542,                 -20,              10.384
          -0.0017952,                   0,          -0.0046996,                  -4,               10.98
          -0.0017952,                   0,          -0.0068024,                  12,              10.726
          -0.0017952,                   0,          -0.0077049,                  12,                7.94
          -0.0017952,                   0,          -0.0063645,                  -4,               9.872
          -0.0017952,                   0,          -0.0065449,                  -4,               10.13
          -0.0017952,                   0,          -0.0077459,                  12,                9.87
          -0.0017952,                   0,          -0.0053713,                  12,               10.13
          -0.0017952,                   0,          -0.0083415,                  -4,                9.87
          -0.0017952,                   0,          -0.0079292,                  12,              10.129
          -0.0017952,                   0,          -0.0088367,                 -20,               9.871
          -0.0017952,                   0,          -0.0073361,                  -4,               9.873
          -0.0017952,                   0,          -0.0075031,                  12,              12.005
          -0.0017952,                   0,          -0.0075665,                  12,               8.054
          -0.0017952,                   0,          -0.0087739,                  -4,               9.872
          -0.0017952,                   0,          -0.0090157,                  -4,               10.34
          -0.0017952,                   0,            -0.01245,                  -4,               9.862
          -0.0017952,                   0,           -0.010111,                 -20,               10.14
          -0.0017952,                   0,           -0.011066,                  -4,              10.273
          -0.0017952,                   0,           -0.011448,                  12,              10.879
          -0.0017952,                   0,           -0.010101,                  12,              10.342
          -0.0017952,                   0,           -0.011216,                  -4,               8.567
          -0.0017952,                   0,           -0.012588,                  12,              10.651
          -0.0017952,                   0,           -0.012145,                  -4,               9.023
          -0.0017952,                   0,           -0.010183,                  12,               10.13
          -0.0017952,                   0,           -0.011723,                  -4,              10.269
          -0.0017952,                   0,           -0.010678,                  -4,              10.031
          -0.0017952,                   0,          -0.0099981,                  12,              10.341
          -0.0017952,                   0,           -0.012063,                  12,               9.869
          -0.0017952,                   0,           -0.010812,                 -20,              10.278
          -0.0017952,                   0,          -0.0091107,                  12,              11.405
          -0.0017952,                   0,          -0.0082998,                 -20,               9.989
          -0.0017952,                   0,           -0.010763,                  -4,               7.452
          -0.0017952,                   0,          -0.0089352,                  12,              12.206
          -0.0017952,                   0,           -0.013112,                  12,               9.945
          -0.0017952,                   0,           -0.012986,                  -4,               9.462
          -0.0017952,                   0,            -0.01451,                  12,               8.946
          -0.0017952,                   0,           -0.013648,                 -20,               9.757
          -0.0017952,                   0,           -0.015976,                  -4,              10.117
          -0.0017952,                   0,           -0.015438,                  -4,               9.923
          -0.0017952,                   0,           -0.014938,                  -4,               9.813
          -0.0017952,                   0,           -0.016299,                  12,              10.313
          -0.0017952,                   0,           -0.020054,                  12,              11.442
          -0.0017952,                   0,           -0.024982,                  -4,              10.547
          -0.0017952,                   0,           -0.024895,                  -4,              10.357
          -0.0017952,                   0,           -0.024895,                  12,               7.653
          -0.0017952,                   0,           -0.021809,                  -4,               9.567
          -0.0017952,                   0,            -0.02046,                  -4,              10.432
          -0.0017952,                   0,           -0.020127,                  -4,               9.878
          -0.0017952,                   0,           -0.019701,                  12,              10.141
          -0.0017952,                   0,           -0.015839,                  12,                9.86
          -0.0017952,                   0,          -0.0048847,                  -4,               10.13
          -0.0017952,                   0,            0.013973,                  12,               9.864
          -0.0017952,                   0,             0.01785,                  12,               11.58
          -0.0008976,                   0,            0.019722,                  12,               8.133
           0.0026928,              0.8976,            0.018008,                  -4,              10.734
           0.0026928,                   0,            0.019888,                 -20,              10.447
           0.0062832,              0.8976,             0.01951,                  -4,              11.005
           0.0098736,                   0,            0.028598,                 -68,               7.891
            0.012566,                   0,            0.025896,                  12,              10.181
            0.016157,              0.8976,            0.033987,                -133,               9.703
            0.023338,                   0,            0.033987,                 -20,              10.565
            0.029621,                   0,            0.035436,                 -52,              11.531
            0.030518,              0.8976,            0.040289,                -117,               7.925
            0.035006,              0.8976,            0.027808,                 -52,               9.967
            0.040392,              0.8976,             0.03413,                 -85,              10.149
            0.046675,                   0,            0.044237,                -165,              10.003
            0.051163,                   0,            0.057589,                -214,               9.868
            0.056549,              0.8976,              0.0465,                -246,               9.974
             0.06373,              0.8976,            0.038168,                 -85,              10.031
            0.077194,                   0,            0.044427,                 -85,              10.172
            0.081681,              0.8976,            0.044427,                -278,              10.356
             0.08976,              0.8976,            0.048223,                -294,              11.838
            0.092453,                   0,            0.056394,                -181,              11.302
             0.10322,              0.8976,            0.056394,                -310,               7.765
             0.10951,                   0,            0.065966,                -375,               8.736
              0.1131,              0.8976,            0.065966,                -214,              12.203
             0.11759,              0.8976,            0.049752,                -326,              10.991
             0.12656,              0.8976,            0.068955,                -326,               9.413
             0.13195,                   0,            0.071803,                -423,               8.204
             0.13823,                   0,            0.078924,                -471,              12.051
             0.14003,              0.8976,            0.085255,                -471,               7.111
             0.14451,              0.8976,              0.0678,                -310,               9.841
              0.1508,              0.8976,            0.081916,                -375,              10.187
             0.15708,              0.8976,            0.089514,                -504,               9.773
             0.16965,              0.8976,            0.092272,                -536,              10.407
             0.17593,                   0,            0.091414,                -504,              11.677
             0.18221,              0.8976,            0.097953,                -536,              10.386
             0.19029,                   0,            0.089905,                -568,              10.836
             0.19568,              0.8976,            0.089905,                -504,               7.373
             0.20465,              0.8976,             0.10138,                -600,              10.538
             0.21363,              0.8976,            0.096463,                -455,              11.573
             0.22081,              0.8976,             0.11241,                -632,               8.126
             0.22979,              0.8976,             0.11663,                -665,              12.562
             0.23786,              0.8976,             0.12244,                -729,               9.115
             0.24056,              0.8976,             0.11934,                -665,               7.578
             0.25402,                   0,             0.12059,                -745,              10.037
              0.2621,              0.8976,             0.12352,                -729,              10.169
               0.263,              0.8976,             0.12326,                -697,              11.758
             0.27826,              0.8976,             0.11616,                -665,               8.526
             0.28813,              0.8976,             0.13092,                -810,               9.978
